"","to","from","movers","date","fr_pat","to_pat","fr_users","to_users"
"1","51001","51001",39841,2019-01-01,1,1,46982,46397
"2","51001","51690",0,2019-01-01,117,1,22276,46397
"3","51001","51157",0,2019-01-01,75,1,9162,46397
"4","51001","51510",0,2019-01-01,96,1,213087,46397
"5","51001","51109",15,2019-01-01,54,1,55210,46397
"6","51001","51051",0,2019-01-01,26,1,24349,46397
"7","51001","51023",0,2019-01-01,12,1,58981,46397
"8","51001","51550",240,2019-01-01,100,1,404560,46397
"9","51001","51179",217,2019-01-01,86,1,227335,46397
"10","51001","51165",15,2019-01-01,79,1,130193,46397
"11","51001","51135",0,2019-01-01,65,1,24627,46397
"12","51001","51089",0,2019-01-01,44,1,92093,46397
"13","51001","51045",0,2019-01-01,23,1,8129,46397
"14","51001","51700",183,2019-01-01,118,1,300145,46397
"15","51001","51520",0,2019-01-01,97,1,25038,46397
"16","51001","51187",15,2019-01-01,90,1,64982,46397
"17","51001","51069",29,2019-01-01,34,1,137274,46397
"18","51001","51097",0,2019-01-01,48,1,11873,46397
"19","51001","51630",0,2019-01-01,108,1,44534,46397
"20","51001","51735",11,2019-01-01,122,1,20849,46397
"21","51001","51181",0,2019-01-01,87,1,11331,46397
"22","51001","51119",0,2019-01-01,59,1,16430,46397
"23","51001","51091",0,2019-01-01,45,1,2025,46397
"24","51001","51840",0,2019-01-01,133,1,41272,46397
"25","51001","51710",996,2019-01-01,119,1,408163,46397
"26","51001","51670",0,2019-01-01,112,1,38762,46397
"27","51001","51530",0,2019-01-01,98,1,10410,46397
"28","51001","51113",0,2019-01-01,56,1,21001,46397
"29","51001","51071",0,2019-01-01,35,1,27875,46397
"30","51001","51810",546,2019-01-01,130,1,784792,46397
"31","51001","51640",0,2019-01-01,109,1,7278,46397
"32","51001","51740",39,2019-01-01,123,1,161186,46397
"33","51001","51139",0,2019-01-01,67,1,40673,46397
"34","51001","51121",28,2019-01-01,60,1,161239,46397
"35","51001","51093",28,2019-01-01,46,1,60681,46397
"36","51001","51007",0,2019-01-01,4,1,22500,46397
"37","51001","51720",0,2019-01-01,120,1,6050,46397
"38","51001","51163",0,2019-01-01,78,1,35665,46397
"39","51001","51540",25,2019-01-01,99,1,68209,46397
"40","51001","51115",0,2019-01-01,57,1,13186,46397
"41","51001","51073",28,2019-01-01,36,1,62095,46397
"42","51001","51029",0,2019-01-01,15,1,28349,46397
"43","51001","51650",76,2019-01-01,110,1,224693,46397
"44","51001","51185",0,2019-01-01,89,1,66906,46397
"45","51001","51141",0,2019-01-01,68,1,29110,46397
"46","51001","51125",0,2019-01-01,61,1,22989,46397
"47","51001","51095",52,2019-01-01,47,1,109104,46397
"48","51001","51036",0,2019-01-01,19,1,10204,46397
"49","51001","51730",0,2019-01-01,121,1,49745,46397
"50","51001","51195",0,2019-01-01,93,1,65949,46397
"51","51001","51103",0,2019-01-01,51,1,14049,46397
"52","51001","51075",0,2019-01-01,37,1,36004,46397
"53","51001","51760",195,2019-01-01,125,1,354947,46397
"54","51001","51660",79,2019-01-01,111,1,84786,46397
"55","51001","51595",0,2019-01-01,104,1,7929,46397
"56","51001","51159",0,2019-01-01,76,1,14532,46397
"57","51001","51143",0,2019-01-01,69,1,117603,46397
"58","51001","51111",0,2019-01-01,55,1,20351,46397
"59","51001","51083",0,2019-01-01,41,1,58170,46397
"60","51001","51037",0,2019-01-01,20,1,21475,46397
"61","51001","51683",0,2019-01-01,115,1,66164,46397
"62","51001","51197",0,2019-01-01,94,1,47549,46397
"63","51001","51153",67,2019-01-01,73,1,727098,46397
"64","51001","51137",54,2019-01-01,66,1,56203,46397
"65","51001","51019",27,2019-01-01,10,1,135376,46397
"66","51001","51047",0,2019-01-01,24,1,78830,46397
"67","51001","51175",0,2019-01-01,84,1,31773,46397
"68","51001","51145",0,2019-01-01,70,1,49855,46397
"69","51001","51131",2643,2019-01-01,63,1,16552,46397
"70","51001","51099",0,2019-01-01,49,1,40754,46397
"71","51001","51013",50,2019-01-01,7,1,302943,46397
"72","51001","51027",0,2019-01-01,14,1,34563,46397
"73","51001","51169",0,2019-01-01,81,1,28701,46397
"74","51001","51183",0,2019-01-01,88,1,17885,46397
"75","51001","51155",0,2019-01-01,74,1,57623,46397
"76","51001","51035",0,2019-01-01,18,1,45489,46397
"77","51001","51021",0,2019-01-01,11,1,9754,46397
"78","51001","51193",0,2019-01-01,92,1,28073,46397
"79","51001","51177",0,2019-01-01,85,1,221513,46397
"80","51001","51147",39,2019-01-01,71,1,39815,46397
"81","51001","51059",149,2019-01-01,29,1,1763382,46397
"82","51001","51101",12,2019-01-01,50,1,28523,46397
"83","51001","51590",0,2019-01-01,103,1,68488,46397
"84","51001","51750",0,2019-01-01,124,1,32409,46397
"85","51001","51171",14,2019-01-01,82,1,70180,46397
"86","51001","51053",0,2019-01-01,27,1,50342,46397
"87","51001","51081",0,2019-01-01,40,1,18707,46397
"88","51001","51790",0,2019-01-01,128,1,38974,46397
"89","51001","51680",77,2019-01-01,114,1,117483,46397
"90","51001","51620",0,2019-01-01,107,1,12464,46397
"91","51001","51105",0,2019-01-01,52,1,35683,46397
"92","51001","51149",0,2019-01-01,72,1,63575,46397
"93","51001","51117",0,2019-01-01,58,1,48003,46397
"94","51001","51003",103,2019-01-01,2,1,156239,46397
"95","51001","51031",0,2019-01-01,16,1,101999,46397
"96","51001","51017",0,2019-01-01,9,1,6549,46397
"97","51001","51127",0,2019-01-01,62,1,35250,46397
"98","51001","51173",0,2019-01-01,83,1,50469,46397
"99","51001","51085",12,2019-01-01,42,1,185889,46397
"100","51001","51025",0,2019-01-01,13,1,25288,46397
"101","51001","51570",0,2019-01-01,101,1,33302,46397
"102","51001","51011",0,2019-01-01,6,1,29404,46397
"103","51001","51167",0,2019-01-01,80,1,46676,46397
"104","51001","51079",0,2019-01-01,39,1,30089,46397
"105","51001","51077",0,2019-01-01,38,1,22261,46397
"106","51001","51770",0,2019-01-01,126,1,158696,46397
"107","51001","51033",0,2019-01-01,17,1,50376,46397
"108","51001","51161",0,2019-01-01,77,1,173951,46397
"109","51001","51191",0,2019-01-01,91,1,87011,46397
"110","51001","51043",0,2019-01-01,22,1,22764,46397
"111","51001","51041",14,2019-01-01,21,1,584264,46397
"112","51001","51057",0,2019-01-01,28,1,19001,46397
"113","51001","51199",28,2019-01-01,95,1,111883,46397
"114","51001","51685",0,2019-01-01,116,1,29141,46397
"115","51001","51800",195,2019-01-01,129,1,150156,46397
"116","51001","51065",0,2019-01-01,32,1,41315,46397
"117","51001","51107",0,2019-01-01,53,1,580113,46397
"118","51001","51610",0,2019-01-01,106,1,18212,46397
"119","51001","51678",62,2019-01-01,113,1,11226,46397
"120","51001","51775",0,2019-01-01,127,1,43358,46397
"121","51001","51087",161,2019-01-01,43,1,558046,46397
"122","51001","51133",0,2019-01-01,64,1,17739,46397
"123","51001","51830",0,2019-01-01,132,1,21163,46397
"124","51001","51015",0,2019-01-01,8,1,128468,46397
